[2025-11-19 00:06:59] === MULAI SNAPSHOT STOK HARIAN ===
[2025-11-19 00:06:59] ✅ Roti Coklat Keju: Awal=32, Terjual=0, Sisa=32
[2025-11-19 00:06:59] ✅ Roti Manis Kismis: Awal=23, Terjual=0, Sisa=23
[2025-11-19 00:06:59] ✅ Cappucino Bread: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Choco Beetle: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Brioche : Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Ciabatta: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Croissant: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Roti Bagel: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Brownies Panggang: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Cheese cream Cake: Awal=0, Terjual=0, Sisa=0
[2025-11-19 00:06:59] ✅ Coco Cake: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Roti Canai: Awal=10, Terjual=0, Sisa=10
[2025-11-19 00:06:59] ✅ Classic Opera: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Mango Cheesecake: Awal=12, Terjual=0, Sisa=12
[2025-11-19 00:06:59] ✅ Roti Sobek: Awal=9, Terjual=0, Sisa=9
[2025-11-19 00:06:59] ✅ Focaccia: Awal=18, Terjual=0, Sisa=18
[2025-11-19 00:06:59] ✅ Donat: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Roti Kukus Thailand: Awal=19, Terjual=0, Sisa=19
[2025-11-19 00:06:59] ✅ Roti Gambang: Awal=18, Terjual=0, Sisa=18
[2025-11-19 00:06:59] ✅ Roti Pumperckel: Awal=21, Terjual=0, Sisa=21
[2025-11-19 00:06:59] ✅ Chocolate Chip Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Butter Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Oatmeal Raisin Cookies: Awal=5, Terjual=0, Sisa=5
[2025-11-19 00:06:59] ✅ Peanut Butter Cookies: Awal=26, Terjual=0, Sisa=26
[2025-11-19 00:06:59] ✅ Matcha Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Almond Crunch Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Double Chocolate Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Cornflakes Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Cheese Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Red Velvet Cookies: Awal=23, Terjual=0, Sisa=23
[2025-11-19 00:06:59] ✅ Choco Mint Cookies: Awal=15, Terjual=0, Sisa=15
[2025-11-19 00:06:59] ✅ Caramel Cashew Cookies: Awal=15, Terjual=0, Sisa=15
